0.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
16.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0
24.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
40.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
56.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
72.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
88.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
104.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
120.0,16.0,0.0,0.0,0.03125,-273.0,-273.0,1734.96875
136.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
144.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
160.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
176.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
192.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
208.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
224.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
240.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
256.0,16.0,0.0,0.0,1.0,0.0,0.0,64254.0
272.0,16.0,0.0,0.0,1.0,0.0,0.0,64254.0
288.0,8.0,0.0,0.0,1.0,0.0,0.0,250.0
296.0,8.0,0.0,0.0,1.0,0.0,0.0,250.0
304.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
306.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
312.0,8.0,0.0,0.0,1.0,0.0,1.0,64.0
320.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
322.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
328.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
344.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
