0.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0
4.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0
8.0,8.0,0.0,0.0,1.0,0.0,0.0,250.0
16.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
32.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
40.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
56.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
64.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
80.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
88.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
104.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
112.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
128.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
144.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
