0.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
16.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
24.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
40.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
48.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
64.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
72.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
88.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
96.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
112.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
120.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
136.0,16.0,0.0,0.0,0.00078125,0.0,0.0,50.2
152.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
168.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
184.0,8.0,0.0,0.0,0.1,0.0,0.0,25.0
192.0,8.0,0.0,0.0,10.0,0.0,0.0,2500.0
200.0,8.0,0.0,0.0,10.0,0.0,0.0,2500.0
208.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
216.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
224.0,16.0,0.0,0.0,0.125,0.0,0.0,8031.875
240.0,16.0,0.0,0.0,0.004,0.0,0.0,257.02
256.0,16.0,0.0,0.0,1.0,0.0,0.0,64255.0
272.0,8.0,0.0,0.0,1.0,0.0,0.0,255.0
280.0,8.0,0.0,0.0,1.0,0.0,0.0,255.0
288.0,8.0,0.0,0.0,1.0,0.0,0.0,255.0
296.0,8.0,0.0,0.0,1.0,0.0,0.0,255.0
304.0,8.0,0.0,0.0,1.0,0.0,0.0,255.0
312.0,8.0,0.0,0.0,1.0,-125.0,-125.0,125.0
